filename	title	artist	place	date	caption	description	permalink	image_url
hh612mm8960_70149_23_PM.jpg	Newton 1993 #4	Douglas Menuez		1993-05	Every evening, the children of the Newton engineers could be seen roaming the halls of the research lab, playing and visiting with their parents. Here they are helping out by creatively rewriting some technical product specifications and strategy diagrams.		https://purl.stanford.edu/hh612mm8960	https://stacks.stanford.edu/image/iiif/hh612mm8960/70149_23_PM/full/full/0/default.jpg
hj065bx8656_64306_25_PM.jpg	Newton 1993 #2	Douglas Menuez		1993-03	Michael Witlin, Newton event producer, giving directions.		https://purl.stanford.edu/hj065bx8656	https://stacks.stanford.edu/image/iiif/hj065bx8656/64306_25_PM/full/full/0/default.jpg
hj583nm9477_22959_13_PM.jpg	Farallon 1989 Jan.-Nov	Douglas Menuez		1989	A demonstration of Farallon's MacRecorder.		https://purl.stanford.edu/hj583nm9477	https://stacks.stanford.edu/image/iiif/hj583nm9477/22959_13_PM/full/full/0/default.jpg
hj704fv2461_9033_06_PM.jpg	Adobe 1990 #1	Douglas Menuez		1990	Jun Iihara.		https://purl.stanford.edu/hj704fv2461	https://stacks.stanford.edu/image/iiif/hj704fv2461/9033_06_PM/full/full/0/default.jpg
hj872ww9905_46614_21A_PM.jpg	Kleiner Perkins 1996	Douglas Menuez		1996-09	Clinton dinner.		https://purl.stanford.edu/hj872ww9905	https://stacks.stanford.edu/image/iiif/hj872ww9905/46614_21A_PM/full/full/0/default.jpg
hj931ys0497_82344_11A_PM.jpg	Newton Launch Boston	Douglas Menuez		1993-08	Newton project veterans.		https://purl.stanford.edu/hj931ys0497	https://stacks.stanford.edu/image/iiif/hj931ys0497/82344_11A_PM/full/full/0/default.jpg
hk290dm8533_72189_25_PM.jpg	Adobe 1991 #1	Douglas Menuez		1991	Adobe co-founder John Warnock.		https://purl.stanford.edu/hk290dm8533	https://stacks.stanford.edu/image/iiif/hk290dm8533/72189_25_PM/full/full/0/default.jpg
hk320bd6423_64286_1_PM.jpg	Newton 1993 #2	Douglas Menuez		1993-03	Newton marketing team members Nazila Alasti (left) and Michael Tchao.		https://purl.stanford.edu/hk320bd6423	https://stacks.stanford.edu/image/iiif/hk320bd6423/64286_1_PM/full/full/0/default.jpg
hm490vz6445_64286_18_PM.jpg	Newton 1993 #2	Douglas Menuez		1993-03	Michael Tchao, Newton's product marketing manager.		https://purl.stanford.edu/hm490vz6445	https://stacks.stanford.edu/image/iiif/hm490vz6445/64286_18_PM/full/full/0/default.jpg
hm529ck8309_63625_01A_PM.jpg	Farallon 1990 July-Dec	Douglas Menuez		1990	Bob McNinch, Farallon's director of European sales.		https://purl.stanford.edu/hm529ck8309	https://stacks.stanford.edu/image/iiif/hm529ck8309/63625_01A_PM/full/full/0/default.jpg
hp798hy7630_0037_23A_PM.jpg	Adobe 1989 Binder 1	Douglas Menuez		1989	Nancy Winters, designer, in conversation with a colleague.		https://purl.stanford.edu/hp798hy7630	https://stacks.stanford.edu/image/iiif/hp798hy7630/0037_23A_PM/full/full/0/default.jpg
hp807tr1244_9_15A_PM.jpg	Adobe 1994 Book 1	Douglas Menuez		1994	Adobe Vice President Dave Pratt (left) in a meeting with colleagues.		https://purl.stanford.edu/hp807tr1244	https://stacks.stanford.edu/image/iiif/hp807tr1244/9_15A_PM/full/full/0/default.jpg
hp931hs5956_09156_26A_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988-12	Enjoying the Adobe holiday party.		https://purl.stanford.edu/hp931hs5956	https://stacks.stanford.edu/image/iiif/hp931hs5956/09156_26A_PM/full/full/0/default.jpg
hp933yw1149_19408_27A_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988-09-11	Adobe employees celebrate at a gathering at the home of Adobe co-founder John Warnock.		https://purl.stanford.edu/hp933yw1149	https://stacks.stanford.edu/image/iiif/hp933yw1149/19408_27A_PM/full/full/0/default.jpg
hp981jx0464_46597_11_PM.jpg	Kleiner Perkins 1996	Douglas Menuez		1996-09	Clinton dinner.		https://purl.stanford.edu/hp981jx0464	https://stacks.stanford.edu/image/iiif/hp981jx0464/46597_11_PM/full/full/0/default.jpg
hq100vh1693_NY11_21_PM.jpg	IBM	Douglas Menuez		1986	John Heidenreich, IBM research manager.		https://purl.stanford.edu/hq100vh1693	https://stacks.stanford.edu/image/iiif/hq100vh1693/NY11_21_PM/full/full/0/default.jpg
hq341ms8699_024564_25_PM.jpg	NeXT 1987	Douglas Menuez		1987-11	Guy "Bud" Tribble, vice president of software engineering and a NeXT co-founder.		https://purl.stanford.edu/hq341ms8699	https://stacks.stanford.edu/image/iiif/hq341ms8699/024564_25_PM/full/full/0/default.jpg
hq486yr6751_8867_26A_PM.jpg	Apple 1990-1991 #1	Douglas Menuez		1990-10	John Sculley, Apple chairman and CEO, on the day of Apple's unveiling of its long-awaited, low-cost Macintosh computers.		https://purl.stanford.edu/hq486yr6751	https://stacks.stanford.edu/image/iiif/hq486yr6751/8867_26A_PM/full/full/0/default.jpg
hq699bk3474_8440_20A_PM.jpg	Farallon B	Douglas Menuez		1986	Farallon employees play tug-of-war at the company picnic.		https://purl.stanford.edu/hq699bk3474	https://stacks.stanford.edu/image/iiif/hq699bk3474/8440_20A_PM/full/full/0/default.jpg
hq870wj8882_09229_25A_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988-12-28	Dave Pratt, general manager of Adobe's Application Products Division (with back to camera), John Warnock, Adobe co-founder (center) and Bruce Nakao, Adobe CFO (right).		https://purl.stanford.edu/hq870wj8882	https://stacks.stanford.edu/image/iiif/hq870wj8882/09229_25A_PM/full/full/0/default.jpg
hs188fg3605_74015_9_PM.jpg	Kleiner Perkins 1991	Douglas Menuez		1991-12	Frank Caufield, a Kleiner Perkins partner.		https://purl.stanford.edu/hs188fg3605	https://stacks.stanford.edu/image/iiif/hs188fg3605/74015_9_PM/full/full/0/default.jpg
ht279df3955_26787_32_PM.jpg	Adobe 1989 Binder 1	Douglas Menuez		1989	Adobe Creative Director Russell Brown.		https://purl.stanford.edu/ht279df3955	https://stacks.stanford.edu/image/iiif/ht279df3955/26787_32_PM/full/full/0/default.jpg
ht474xn4530_27144_27_PM.jpg	Adobe 1989 Binder 1	Douglas Menuez		1989	Adobe Creative Director Russell Brown (in white shirt) with colleagues.		https://purl.stanford.edu/ht474xn4530	https://stacks.stanford.edu/image/iiif/ht474xn4530/27144_27_PM/full/full/0/default.jpg
ht482zk6847_64_15A_PM.jpg	IBM 11/97 Burlington	Douglas Menuez		1997-11	Dean Chung (left) with manager Stephen Luce (right) in the copper plating area of IBM's Burlington, Vermont, facility.		https://purl.stanford.edu/ht482zk6847	https://stacks.stanford.edu/image/iiif/ht482zk6847/64_15A_PM/full/full/0/default.jpg
