"Druid","Title","Collection"
"bn321wq9318","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bn322fg6653","Farallon B","Douglas Menuez photography collection, circa 1985-2008"
"bn344gs2653","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bn395pg4370","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bn417xr2484","IBM 11/97","Douglas Menuez photography collection, circa 1985-2008"
"bn475gd4980","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bn540xb6451","Apple Computer 1996","Douglas Menuez photography collection, circa 1985-2008"
"bn554mw2311","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"bn561ks2308","Farallon, #4","Douglas Menuez photography collection, circa 1985-2008"
"bn598pg0398","Silicon Valley Selects, 1986-1997, Tech Selects 11, John Sculley","Douglas Menuez photography collection, circa 1985-2008"
"bn608sr7470","Adobe, Color","Douglas Menuez photography collection, circa 1985-2008"
"bn730fd4387","Kleiner Perkins 1991","Douglas Menuez photography collection, circa 1985-2008"
"bn826wt7812","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bn850gq7666","Super Mac","Douglas Menuez photography collection, circa 1985-2008"
"bn904xs9538","Adobe, Annual #1","Douglas Menuez photography collection, circa 1985-2008"
"bp061ny8153","NeXT 1989","Douglas Menuez photography collection, circa 1985-2008"
"bp106tb0934","Adobe, Annual #3","Douglas Menuez photography collection, circa 1985-2008"
"bp120cz0326","Silicon Valley Selects, 1986-1997, Tech Selects 9, Farallon Tech Project B","Douglas Menuez photography collection, circa 1985-2008"
"bp150cz0469","Adobe 1991","Douglas Menuez photography collection, circa 1985-2008"
"bp261zg2687","Silicon Valley Selects, 1986-1997, Tech Selects 5, Sun Microsystems, #1","Douglas Menuez photography collection, circa 1985-2008"
"bp269zf1249","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"bp310dd3943","Farallon, #4","Douglas Menuez photography collection, circa 1985-2008"
"bp315yp1723","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bp331qs2441","Adobe, Annual #3","Douglas Menuez photography collection, circa 1985-2008"
"bp361wb9097","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bp494cf8663","Adobe 1988 Binder 1","Douglas Menuez photography collection, circa 1985-2008"
"bp501tc0614","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bp527dw6438","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bp581jw2582","Adobe, Annual #2","Douglas Menuez photography collection, circa 1985-2008"
"bp734ft1138","Silicon Valley Selects, 1986-1997, Tech Selects 8, Farallon Tech Project A","Douglas Menuez photography collection, circa 1985-2008"
"bp769vk0463","IBM","Douglas Menuez photography collection, circa 1985-2008"
"bp790qj3725","Adobe 1992 #1","Douglas Menuez photography collection, circa 1985-2008"
"bp867xv8189","Silicon Valley Selects, 1986-1997, Tech Selects 9, Farallon Tech Project B","Douglas Menuez photography collection, circa 1985-2008"
"bp869bf0537","Adobe, 1992, #1","Douglas Menuez photography collection, circa 1985-2008"
"bp881hh6459","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bp933vf4818","Adobe Annual 1990-2","Douglas Menuez photography collection, circa 1985-2008"
"bp947rj3536","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bp965gn7379","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bp967yy0164","Adobe, #1","Douglas Menuez photography collection, circa 1985-2008"
"bq051bw8186","Kleiner Perkins 1995","Douglas Menuez photography collection, circa 1985-2008"
"bq133fc3374","Adobe, Annual #2","Douglas Menuez photography collection, circa 1985-2008"
"bq199mn4821","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bq256np6271","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bq382xh9610","Adobe, Annual #1","Douglas Menuez photography collection, circa 1985-2008"
"bq385fj0135","IBM New York - Executive Arts","Douglas Menuez photography collection, circa 1985-2008"
"bq405ny1766","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bq417gb4092","Adobe 1991 #1","Douglas Menuez photography collection, circa 1985-2008"
"bq450vk6419","Sun Microsystems, 1992, #2, Water Fight Outs","Douglas Menuez photography collection, circa 1985-2008"
"bq463jm8152","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
