"filename","permalink","caption","ignore"
"rd647sw4859","https://purl.stanford.edu/rd647sw4859","Bridal group with children","1"
"rg722xr5324","https://purl.stanford.edu/rg722xr5324","stage scene--assassination attempt on Yuan Shikai by Yuan Ying","1"
"rj688hd2079","https://purl.stanford.edu/rj688hd2079","Officers-CACA, 1934","2"
"rk084rr5516","https://purl.stanford.edu/rk084rr5516","Portrait of actor as a warrior","1"
"rm377wj8212","https://purl.stanford.edu/rm377wj8212","Actor standing wearing tall headpiece, holding books each hand","2"
"rm543sn4769","https://purl.stanford.edu/rm543sn4769","Scrapbook page--white wedding couple","1"
"rm669jj1635","https://purl.stanford.edu/rm669jj1635","2 women in jail--stage scene","2"
"rm867zb7797","https://purl.stanford.edu/rm867zb7797","Woman holding sword","2"
"rp817dz6433","https://purl.stanford.edu/rp817dz6433","Portrait of an actor/actress in traditional Chinese theater costume (hand-colored photographic print)","1"
"rr163zt9116","https://purl.stanford.edu/rr163zt9116","Scrapbook page--4 photos","1"
"rr440xy0288","https://purl.stanford.edu/rr440xy0288","Tam Yuk-lan in bathing costume with parasol","2"
"rt522hp5508","https://purl.stanford.edu/rt522hp5508","2 women facing camera","1"
"rv612fc7654","https://purl.stanford.edu/rv612fc7654","Men in office","1"
"rv846sn5680","https://purl.stanford.edu/rv846sn5680","Mok Huk Ming mural - fairy maidens scattering flowers (painted canvas on board)","1"
"rw248kh7277","https://purl.stanford.edu/rw248kh7277","Battle with boats on stage","2"
"ry527sm6001","https://purl.stanford.edu/ry527sm6001","Group- seated men indoors with child in center","1"
"ry629pk8841","https://purl.stanford.edu/ry629pk8841","Portrait of Shanghai Mei, seated in a black dress (hand-colored photographic print)","1"
"rz727xt9472","https://purl.stanford.edu/rz727xt9472","stage scene--Guan Yu in battle","2"
"sb146gd3289","https://purl.stanford.edu/sb146gd3289","Identity certificate - Lau Lung Yen","2"
"sb705xk5775","https://purl.stanford.edu/sb705xk5775","Stage scene with butterflies","2"
"sd628mh3654","https://purl.stanford.edu/sd628mh3654","Standing actor holding weapon pointed downward","2"
"sd645fn9533","https://purl.stanford.edu/sd645fn9533","Man in costume, holding fan, lotus background","2"
"sj969sw9120","https://purl.stanford.edu/sj969sw9120","Standing actor with outstretched arm","2"
"sk012yr5472","https://purl.stanford.edu/sk012yr5472","Stage scene--ladies in boat","2"
"sm008xs2582","https://purl.stanford.edu/sm008xs2582","Seated men with labeled names","2"
"sm338np6868","https://purl.stanford.edu/sm338np6868","Young lady, dark fan in right hand","2"
"sn280nx5915","https://purl.stanford.edu/sn280nx5915","Group outside the Young China","1"
"sn759tr5174","https://purl.stanford.edu/sn759tr5174","Interior--New Years Day scene--room","2"
"sr064zw9923","https://purl.stanford.edu/sr064zw9923","Chew Quan Banquet- group at table","2"
"sr622jx2464","https://purl.stanford.edu/sr622jx2464","2 women facing each other","1"
"ss913cx5240","https://purl.stanford.edu/ss913cx5240","Standing actor with building backdrop","2"
"sz812sc2140","https://purl.stanford.edu/sz812sc2140","Woman seated on ground","2"
"tb519vy4506","https://purl.stanford.edu/tb519vy4506","Theatre scene-mounted","1"
"tb644xt0391","https://purl.stanford.edu/tb644xt0391","Group shot- young women","1"
"tc713kg7770","https://purl.stanford.edu/tc713kg7770","26th class of the Western US students - Nanking basketball team","1"
"tc740xg0476","https://purl.stanford.edu/tc740xg0476","Man, with long black beard, seated, holding weapon","2"
"th259gy4276","https://purl.stanford.edu/th259gy4276","Costumed couple, holding sword, trees in backgound","2"
"tk185rm3276","https://purl.stanford.edu/tk185rm3276","Hong Sang & Co. Good Friends Market storefront","1"
"tk238zv2287","https://purl.stanford.edu/tk238zv2287","Person in costume, standing on one foot, hand out","2"
"tk638tn3798","https://purl.stanford.edu/tk638tn3798","Two costumed women, holding long objects, woman on the right slightly blurred","2"
"tm610vg2058","https://purl.stanford.edu/tm610vg2058","Standing actor--leg raised with headdress","2"
"tn248jt0886","https://purl.stanford.edu/tn248jt0886","Woman, long hair, holding white fan","2"
"tp024fz7205","https://purl.stanford.edu/tp024fz7205","Woman, arms outstretched, pagoda and tree background","2"
"tq326xk8003","https://purl.stanford.edu/tq326xk8003","Costumed actor, with butterfly decor hanging from headpiece","2"
"tq731mr9037","https://purl.stanford.edu/tq731mr9037","Two costumed women, holding objects, woman on the right holding out clenched fist","2"
"tq754sm8908","https://purl.stanford.edu/tq754sm8908","stage scene--man on dragon and bridge flies above a fight on a bridge","1"
"tt827cm7251","https://purl.stanford.edu/tt827cm7251","Group shot- interior photo [verso]","1"
"tw018mj9319","https://purl.stanford.edu/tw018mj9319","Christmas scene with Stanford Lee and toys","2"
"tw742mm0440","https://purl.stanford.edu/tw742mm0440","Mok Huk Ming mural - scene from Nichang -- two men watching fairies in the heavens (painted canvas on board)","1"
"tx057fz6993","https://purl.stanford.edu/tx057fz6993","Young girl in costume, short hair, bamboo background","2"
"tx688jr8095","https://purl.stanford.edu/tx688jr8095","Portrait of warrior with fan headdress","1"
"vd146kf4757","https://purl.stanford.edu/vd146kf4757","Man in costume, holding fan, pagoda background","2"
"vg003ht9436","https://purl.stanford.edu/vg003ht9436","Woman in costume, hand on hip, pagoda background","2"
"vj971rc9858","https://purl.stanford.edu/vj971rc9858","Young lady, dark fan in right hand","2"
"vk099hj2890","https://purl.stanford.edu/vk099hj2890","Costumed person, posing, with long scarves","2"
"vk895rf4141","https://purl.stanford.edu/vk895rf4141","Banquet given by Chew Quan at the Shanghai Low Cafe, August 30, 1928 to the official family of the Yellow Cab Company and friends","1"
"vm664hz4514","https://purl.stanford.edu/vm664hz4514","ID card- Jan Yee","2"
"vn943qm1204","https://purl.stanford.edu/vn943qm1204","Two costumed women, holding objects, woman on the right holding out clenched fist","2"
"vq216tv0985","https://purl.stanford.edu/vq216tv0985","Man standing holding fan - Backdrop by Wu Changting","2"
"vq699pz6872","https://purl.stanford.edu/vq699pz6872","Young girl in royal costume, long hair, head piece","2"
"vr727qk6403","https://purl.stanford.edu/vr727qk6403","Mudan Su as a young scholar","2"
"vr880wp7186","https://purl.stanford.edu/vr880wp7186","Young girl with 2 blades","2"
"vr883hb4949","https://purl.stanford.edu/vr883hb4949","Execution scene - Backdrop by Hsu Feng-bo","2"
"vv700qv4110","https://purl.stanford.edu/vv700qv4110","Woman with sequined dress and hand on column","2"
"vw551vp1654","https://purl.stanford.edu/vw551vp1654","Great Star Theater - Exterior","2"
"wc216jk8486","https://purl.stanford.edu/wc216jk8486","Theatre scene-garden","2"
"wd431xm5751","https://purl.stanford.edu/wd431xm5751","Standing actor, with fan held slightly behind him","2"
"wg192by6530","https://purl.stanford.edu/wg192by6530","Masked, bearded man on all white background","2"
"wj395dx7915","https://purl.stanford.edu/wj395dx7915","Young actor, posed, hands on table, pond and tree background","2"
"wj610qj0062","https://purl.stanford.edu/wj610qj0062","Theatre scene - dinner party scene","2"
"wn481nc8665","https://purl.stanford.edu/wn481nc8665","Man in costume, hands behind back","2"
